processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
LEPPA337-12	MACN-Bar-Lep-ct 02688	2750194	MACN-Bar-Lep 02688		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAZ7478	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			Ezequiel O. Nunez Bustos		Cramer, 1777					E. Nunez Bustos and C. Kopuchian							A	F	S				subespecie plexaure		-25.1205	-58.1724			76				Argentina	Formosa	Departamento de Pilcomayo	Parque Nacional Rio Pilcomayo	Seccional Estero Poi									
LMAD255-10	AC0255-8000426	1358699	CASENT8000426	CASENT8000426	California Academy of Sciences		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	273859	Danaus chrysippus aegyptius	David Lees	Morphological						A. Cameron							A		S				aegyptius	Hand net	-19.1444	44.8278			75				Madagascar	Mahajanga	Parc National Tsingy de Bemaraha	Vazimba 50		700959	http://www.boldsystems.org/pics/LMAD/IMG_2112+1268147616.JPG	Lateral		CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Megan Swan
LNSWE145-06	06-NSWE-00145	210019		06-NSWE-00145	Centre for Biodiversity Genomics		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Paul D.N. Hebert		Linnaeus, 1758					P.D.N. Hebert							A								-31.459	152.476			118				Australia	New South Wales		Ellenborough	Tom's Creek Retreat	66342	http://www.boldsystems.org/pics/LNSWE/06-NSWE-00145+1139945372.jpg	Lateral	Lateral	CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
LNSWE182-06	06-NSWE-00182	210056		06-NSWE-00182	Centre for Biodiversity Genomics		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Paul D.N. Hebert		Linnaeus, 1758					P.D.N. Hebert							A								-31.459	152.476			118				Australia	New South Wales		Ellenborough	Tom's Creek Retreat	66379	http://www.boldsystems.org/pics/LNSWE/06-NSWE-00182+1139947546.jpg	Lateral	Lateral	CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
LNSWG282-06	06-NSWE-02162	228477		06-NSWE-02162	Centre for Biodiversity Genomics		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Paul D.N. Hebert		Linnaeus, 1758					P.D.N. Hebert							A								-31.459	152.476			118				Australia	New South Wales		Ellenborough	Tom's Creek Retreat	90461	http://www.boldsystems.org/pics/LNSWG/06-NSWE-02162+1144331160.jpg	Dorsal	Dorsal	CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
LNU120-17	AVM_121	8373846	AVM_121	AVM_121	Private Collection of Goeran Sjoeberg		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Goeran Sjoeberg		Linnaeus, 1758					Markus Franzen							Adult	M							22.4191	103.852			1300				Vietnam	Lao Cai	Sapa		Ta Phin	3224206	http://www.boldsystems.org/pics/LNU/Screenshot_25+1507659182.jpg	Dorsal		Markus Franzen	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	Linnaeus university	
LNU123-17	AVM_124	8373849	AVM_124	AVM_124	Private Collection of Goeran Sjoeberg		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Goeran Sjoeberg		Cramer, 1779					Markus Franzen							Adult	F							22.4191	103.852			1300				Vietnam	Lao Cai	Sapa		Ta Phin	3224209	http://www.boldsystems.org/pics/LNU/Screenshot_28+1507659220.jpg	Dorsal		Markus Franzen	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	Linnaeus university	
LNU1737-20	AVM1416	12557663	AVM1416	AVM1416	Private Collection of Goeran Sjoeberg		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	724350	Danaus melanippus	794065	Danaus melanippus edmondii	Goeran Sjoeberg		(Bougaunville, 1837)					Bafraw Karimi															11.268	119.437							Philippines	Palawan	El Nido		Pasadena									
LOQTE799-10	gvc14184-1L	1438701	gvc14184		Research Collection of Graeme V. Cocks		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			Graeme V. Cocks		Fabricius, 1775					G. Cocks							A						malaise trap		-19.2828	146.801			10				Australia	Queensland	Townsville		Hermit Park									
LYPAP528-09	MAL-02622	1143027	L-20431	L-20431	El Colegio de la Frontera Sur		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Noemi Salas		Cramer, 1775					Carmen Pozo							A		S				thersippus		18.613	-88.027							Mexico	Quintana Roo			Bahia de Chetumal, Rancho Dos Hermanos, ejido Cald									
MABUT110-10	NIBGE BUT-00110	1680506	BUT-00110		National Institute for Biotechnology and Genetic Engineering		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Muhammad Ashfaq		Linnaeus, 1758					S. Akhtar							A								32.0667	72.6667	GPS		192				Pakistan	Punjab	Sargodha	Sargodha										
MHACG727-05	01-SRNP-25029	40293	01-SRNP-25029	01-SRNP-25029	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758					Freddy Quesada					DHJ:ACG		A	F	S						10.884	-85.386			560				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector San Cristobal	Melina Bufalo	45893|45894|21995|21994	http://www.boldsystems.org/pics/MHAAA/01-SRNP-25029-DHJ96752.jpg|http://www.boldsystems.org/pics/MHAAA/01-SRNP-25029-DHJ96753.jpg|http://www.boldsystems.org/pics/MHACG/01-SRNP-25029-DHJ96752.jpg|http://www.boldsystems.org/pics/MHACG/01-SRNP-25029-DHJ96753.jpg	Dorsal|Ventral|Dorsal|Ventral	Dorsal|Ventral|Dorsal|Ventral	Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen	2005|2005|2005|2005	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen
MHMYK1027-11	10-SRNP-67640	1956830	10-SRNP-67640	10-SRNP-67640	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758										DHJ:ACG										10.9564	-85.2662			123				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Casa Keiner	1762294|1762293	http://www.boldsystems.org/pics/MHMYK/10-SRNP-67640-DHJ530501+1345487228.jpg|http://www.boldsystems.org/pics/MHMYK/10-SRNP-67640-DHJ530500+1345487226.jpg	Ventral|Dorsal	|	Daniel H. Janzen|Daniel H. Janzen	2012|2012	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYL13202-17	16-SRNP-70253	7617136	16-SRNP-70253	16-SRNP-70253	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen							Ricardo Calero							adult		S						10.997	-85.3967			470				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Pitilla	Estacion Quica	3152647	http://www.boldsystems.org/pics/MHMYL/16-SRNP-70253-DHJ922746+1499267138.jpg	Specimen		Daniel H. Janzen	2017	CreativeCommons – Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen
MHMYL8059-16	16-SRNP-35045	7359035	16-SRNP-35045	16-SRNP-35045	University of Pennsylvania		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Harry Ramirez							adult	F	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYL8067-16	16-SRNP-35047	7359043	16-SRNP-35047	16-SRNP-35047	University of Pennsylvania		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Harry Ramirez							adult	F	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYL8074-16	16-SRNP-35044	7359050	16-SRNP-35044	16-SRNP-35044	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen							Harry Ramirez							adult	F	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYN2080-13	13-SRNP-69234	3515584	13-SRNP-69234	13-SRNP-69234	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Daniel H. Janzen		Linnaeus, 1758																				10.9474	-85.315			491				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Flecha	3155558|3155555	http://www.boldsystems.org/pics/MHMYN/13-SRNP-69234-DHJ570139+1499266750.jpg|http://www.boldsystems.org/pics/MHMYN/13-SRNP-69234-DHJ570138+1499266750.jpg	Ventral|Dorsal	|	Daniel H. Janzen|Daniel H. Janzen	2017|2017	CreativeCommons – Attribution Non-Commercial Share-Alike|CreativeCommons – Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
NSWHM452-11	BIOUG00912-G01	1858450	BIOUG00912-G01	BIOUG00912-G01	Centre for Biodiversity Genomics		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					Paul D.N. Hebert					BIOUG:HatHead	Light Trap	A		S	Dry Sclerophyll Forest				collected December 10-17	-31.063	153.052	GPS		36.58				Australia	New South Wales			Hat Head	1100839	http://www.boldsystems.org/pics/NSWHM/IMG_2513+1302122616.JPG	Lateral		CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Sarah Dykeman
PRHPA053-11	PRH_G_053	1930737		PRH_G_053	Research Collection of Peter R. Houlihan		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402975	Danaus eresimusPRH01			Peter R. Houlihan							Peter R. Houlihan							A																Panama	Colon												
SAMOA025-17	CB_MOAS7	8338833	CB_MOAS7	CB_MOAS7	National University of Samoa		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Claudia Bruschini	morphological	Linnaeus, 1758			leg		N. Gurr, C. Bruschini							adult		S						-14.312	-170.75			264				United States	American Samoa	Tutuila		Laveave									
STDC663-23	BC-Dec2642	18066319	BC-Dec2642	BC-Dec2642	Research Collection of Thibaud Decaens		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Thibaud Decaens		Linnaeus, 1758					T. Decaens							Adult	M	S						33.7559	-4.98044			1300				Morocco	Fes-Meknes			Ait Saleh									
WMB1365-13	RVcoll.12-N367	3066743	RVcoll.12-N367		Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Leonardo Dapporto		Linnaeus, 1758					Dapporto, L. & Voda, R.							A		S						34.345	8.329			231				Tunisia		Gafsa		Metlaoui, Le Lezard Rouge									
BIBSA610-15	LEP-SS-00230	6134897	LEP-SS-00230	LEP-SS-00230	Consiglio per la Ricerca in Agricoltura e l'analisi dell'economia agraria		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Stefano Scalercio	MORPHOLOGY	Linnaeus, 1758		Vouchered:Registered Collection	LEG		MARCO INFUSINO							A		S						38.2796	15.5902							Italy	Sicily			MORTELLE	2719058	http://www.boldsystems.org/pics/BIBSA/LEPSS00230+1009861200.JPG	Dorsal			2015	No Rights Reserved	Unit&agrave; di Ricerca per la Selvicoltura in Ambiente Mediterraneo	Stefano Scalercio
BKKP413-18	1WRF008	9026524	1WRF008	1WRF008	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3527379	http://www.boldsystems.org/pics/BKKP/1WRF008+1502956800.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP454-18	2RMH018	9026565	2RMH018	2RMH018	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.688	100.665							Thailand	Bangkok	Bangkok Metropolitan Region		Rama XI Park	3527555	http://www.boldsystems.org/pics/BKKP/2RMH018+1502958716.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP467-18	3RMF002	9026578	3RMF002	3RMF002	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.688	100.665							Thailand	Bangkok	Bangkok Metropolitan Region		Rama XI Park	3528733	http://www.boldsystems.org/pics/BKKP/3RMF002+1502964794.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP558-18	1TBF002	9026669	1TBF002	1TBF002	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3527304	http://www.boldsystems.org/pics/BKKP/1TBF002+1502974500.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP625-18	1TWG004	9026736	1TWG004	1TWG004	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.744	100.352							Thailand	Bangkok	Bangkok Metropolitan Region		Thawee Wanarom Park	3527347	http://www.boldsystems.org/pics/BKKP/1TWG004+1503262486.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BLPAA7574-17	16-SRNP-40704	8372613	16-SRNP-40704	16-SRNP-40704	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				9.86347	-84.1467	Coordinates from country centroid						Costa Rica					3337894|3337892	http://www.boldsystems.org/pics/BLPAA/16-SRNP-40704-DHJ927961+1528305494.jpg|http://www.boldsystems.org/pics/BLPAA/16-SRNP-40704-DHJ927960+1528305494.jpg	Ventral|Dorsal	|	Daniel H. Janzen|Daniel H. Janzen	2018|2018	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
GBART37017-23	AF394674	19992304						20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus	794048	Danaus eresimus tethys																															Unrecoverable													
GBGL21772-19	KP007552	9757061	MCZ:BE01		Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794039	Danaus affinis affinis																							-25.6973	134.023	Coordinates from country centroid						Australia													
GBGL21773-19	KP007563	9757062	BMNH:JTDL-016D		Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794043	Danaus affinis ferruginea																							-7.15691	144.835	Coordinates from country centroid						Papua New Guinea													
GBGL21774-19	KP007564	9757063	BMNH:JTDL-017D		Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794043	Danaus affinis ferruginea																							-7.15691	144.835	Coordinates from country centroid						Papua New Guinea													
GBGL21778-19	KP007584	9757067	RMBR:CE-010		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	794045	Danaus chrysippus alcippus																							6.33139	20.5207	Coordinates from country centroid						Central African Republic													
GBGL21784-19	KP007576	9757073	RMBR:AM-036		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							0.15592	113.965	Coordinates from country centroid						Indonesia													
GBGL21789-19	KP007623	9757078	NTM:NTMI004304		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	794044	Danaus chrysippus cratippus																							-25.6973	134.023	Coordinates from country centroid						Australia													
GBGL21793-19	KP007611	9757082	MCZ:DL-13-P002		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	906764	Danaus chrysippus dorippus																							0.689918	37.9531	Coordinates from country centroid						Kenya													
GBGL21799-19	KP007658	9757088	MCZ:DL-12-E009		Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	794050	Danaus genutia leucoglene																							1.116	120.001							Indonesia													
GBGL21834-19	AY569145	9757123			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							23.8744	-101.554	Coordinates from country centroid						Mexico													
GBLN0113-06	AF394188	472661			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																												Australia	Queensland	Queensland											
GBLN0299-06	AY256344	480543			Mined from GenBank, NCBI		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia					Cramer, 1779																																									
GBLN0509-06	DQ018954	494666	NW108-21		Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																																									
GBLN4292-14	KJ817359	5166674		KJ817359	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					T. M. Shivalingaswamy												ex: Calotropis gigantea		isolate: DcAt-1	23.5863	81.173	Coordinates from country centroid						India													
GBMIN70702-17	KP007571	8410438	NWC:NW84-16	KP007571	Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794039	Danaus affinis affinis																							-19.1667	146.55							Australia		Queensland, Bluewater											
GBMIN70705-17	KP007570	8410441	MCZ:MFB-10-003	KP007570	Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794039	Danaus affinis affinis																							-25.6973	134.023	Coordinates from country centroid						Australia		Northern Territory, Darwin											
GBMIN70712-17	KP007566	8410448	BMNH:JTDL-024D	KP007566	Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794043	Danaus affinis ferruginea																							-7.15691	144.835	Coordinates from country centroid						Papua New Guinea		Nasikwabo (=Alcester), south of Woodlark											
GBMIN70719-17	KP007609	8410455	MCZ:DL-13-B064	KP007609	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	794047	Danaus chrysippus bataviana																							-8.5696	117.035							Indonesia		Nusa Tenggara Barat, Alas Regency, Marente Village											
GBMIN70737-17	KP007596	8410473	MCZ:DL-08-T021	KP007596	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							7.7611	98.7703							Thailand		Krabi, Phi Phi Don Island											
GBMIN70779-17	KP007666	8410515	NWC:NW153-15	KP007666	Mined from GenBank, NCBI		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus	794055	Danaus gilippus cleothera																							18.3963	-70.5391							Dominican Republic		Azua, Hatillo											
GBMIN70787-17	KP007670	8410523	MCZ:DL-10-X017	KP007670	Mined from GenBank, NCBI		BOLD:AAJ4334	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	27326	Danaus ismare	794057	Danaus ismare felicia																							0.15592	113.965	Coordinates from country centroid						Indonesia		Maluku, Buru											
GBMIN70806-17	KP007718	8410542	MCZ:VA02	KP007718	Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	794068	Danaus plexippus nigrippus																							-8.52272	-74.1142	Coordinates from country centroid						Peru		Selva Central											
GBMIN70810-17	KP007710	8410546	MCZ:DL-10-Y031	KP007710	Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							41.4108	-74.0067							United States		New York, Orange County, Cornwall, Black Rock Forest											
GBMIN85244-17	KP007702	8424981	RMBR:MFB-08-DL03	KP007702	Mined from GenBank, NCBI		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	791725	Danaus petilia																									-25.6973	134.023	Coordinates from country centroid						Australia		Northern Territory, Flora River Nature Reserve											
GBMIN85245-17	KP007705	8424982	RMBR:RE-08-J014	KP007705	Mined from GenBank, NCBI		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	791725	Danaus petilia																									-25.6973	134.023	Coordinates from country centroid						Australia		Queensland, Maryborough											
GBMNC57122-20	MH675605	12446897		MH675605	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.99	78.28							India													
GBMNC57123-20	MH635353	12446898		MH635353	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.24	79.26							India													
GBMNC57131-20	MH635345	12446906		MH635345	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.22	79.28							India													
GBMNC57135-20	MH635341	12446910		MH635341	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.16	79.21							India													
GBMTG3895-16	NC_024532	6962268		NC_024532	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																																									
